Crop,Start_growing_season,End_growing_season,kc_1,kc_2,kc_3,kc_4,kc_5,kc_6,kc_7,kc_8,kc_9,kc_10,kc_11,kc_12,T_Base,T_Optimal_Start,T_Optimal_End,T_Upper,w_1,w_2,w_3,w_4,w_5,w_6,w_7,w_8,w_9
Rice,5,9,-,-,-,-,1.05,1.1,1.2,1.2,1,-,-,-,20,25,30,38,0.3,0.3,0.2,0.1,0.1,,,,
Wheat,11,4,1.55,1.75,3.4,2.3,-,-,-,-,-,-,0.7,0.7,3,15,25,30,0.2,0.2,0.2,0.2,0.1,0.1,,,
Sugarbeet,9,2,1.2,0.7,-,-,-,-,-,-,0.35,0.8,1.2,1.2,4,15,25,30,0.2,0.2,0.2,0.2,0.1,0.1,,,
Sugarbeet,10,4,1.2,1,0.8,0.7,-,-,-,-,-,0.35,0.8,1.2,4,15,25,30,0.2,0.2,0.2,0.1,0.1,0.1,0.1,,
Sugarbeet,11,7,1.2,1.2,1,0.8,0.6,0.5,0.5,-,-,-,0.3,0.8,4,15,25,30,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Sesame,4,8,-,-,-,0.35?,0.45,0.55,0.85,0.64,-,-,-,-,18,25,30,40,0.3,0.3,0.2,0.1,0.1,,,,
Maize,4,8,-,-,-,0.5,0.85,1.2,0.9,0.6,-,-,-,-,10,35,35,35,0.3,0.3,0.2,0.1,0.1,,,,
Maize,2,6,-,0.5,0.85,1.2,0.85,0.55,-,-,-,-,-,-,10,15,25,35,0.3,0.3,0.2,0.1,0.1,,,,
Clover,10,4,1,1,0.9,-,-,-,-,-,-,0.55,0.8,1,5,15,25,30,0.2,0.2,0.2,0.2,0.1,0.1,,,
Brocolli ,10,2,1,0.85,-,-,-,-,-,-,-,0.55,0.8,1,5,10,20,24,0.2,0.2,0.2,0.1,0.1,0.1,0.1,,
Cauliflower,6,10,-,-,-,-,-,0.55,0.9,1,1,0.85,-,-,5,10,20,26,0.3,0.3,0.2,0.1,0.1,,,,
Cauliflower,8,1,0.8,-,-,-,-,-,-,0.55,0.9,1,1,0.9,5,10,20,26,0.2,0.2,0.2,0.2,0.1,0.1,,,
Cauliflower,10,3,1,0.9,0.8,-,-,-,-,-,-,0.55,0.9,1,5,10,20,26,0.2,0.2,0.2,0.2,0.1,0.1,,,
Water melon,3,6,-,-,0.5,0.8,1,0.9,0.75,-,-,-,-,-,15,25,30,38,0.3,0.3,0.2,0.1,0.1,,,,
Potatoes,12,4,0.8,1,0.8,-,-,-,-,-,-,-,-,0.5,7,15,25,30,0.3,0.3,0.2,0.2,,,,,
Potatoes,9,1,0.75,-,-,-,-,-,-,-,0.5,0.9,1.1,1.05,7,15,25,30,0.3,0.3,0.2,0.1,0.1,,,,
Potatoes,11,3,1,1,0.85,-,-,-,-,-,-,-,0.4,0.7,7,15,25,30,0.3,0.3,0.2,0.1,0.1,,,,
